#REFERENCE 3 47.2332780 26.7604953
   #ID       X         Y         R       EPS       TAU       AMP       E_AMP      DMAG  TIME[days]  DTIME    PARITY
   1.3   -16.300     0.420    16.305       nan       nan     7.199     0.369      2.14   -9985.7       0.0    +-
   1.3    -4.392    -0.273     4.400       nan       nan     0.790     0.031     -0.26   -9179.0     806.7    --
   1.3    35.320    19.759    40.471       nan       nan     5.535     0.080      1.86  -36149.0  -26163.3    ++
   1.2   -16.297    -0.471    16.304       nan       nan     4.763     0.190      1.69   -9933.0      52.7    +-
   1.2    -4.404    -0.566     4.440       nan       nan     0.796     0.031     -0.25   -9111.5     874.2    --
   1.2    34.862    21.354    40.883       nan       nan     5.298     0.074      1.81  -36592.3  -26606.5    ++
   1.1   -16.050    -0.707    16.065       nan       nan     3.888     0.149      1.47   -9789.5     196.2    +-
   1.1    -4.520    -0.679     4.570       nan       nan     0.836     0.033     -0.19   -9033.1     952.6    --
   1.1    34.864    21.804    41.121       nan       nan     5.211     0.070      1.79  -36934.1  -26948.3    ++
   B2b   -10.083   -28.292    30.035       nan       nan     6.004     0.450      1.95  -15441.2       0.0    +-
   B2b    -1.377    -2.371     2.742       nan       nan     0.287     0.014     -1.36   -8996.3    6444.9    --
   B2b    21.492    43.210    48.259       nan       nan     4.661     0.069      1.67  -41746.8  -26305.5    ++
   B2a    -7.432   -28.585    29.535       nan       nan    12.065     0.796      2.70  -14732.2     709.1    +-
   B2a    -1.193    -2.621     2.880       nan       nan     0.296     0.014     -1.32   -8772.7    6668.5    --
   B2a    19.556    44.516    48.622       nan       nan     4.612     0.068      1.66  -42196.2  -26755.0    ++
   B1b   -15.018   -27.245    31.110       nan       nan    52.483     5.040      4.30  -15806.1       0.0    +-
   B1b    -1.536    -2.215     2.696       nan       nan     0.285     0.014     -1.36   -9118.6    6687.5    --
   B1b    23.002    42.198    48.060       nan       nan     4.708     0.070      1.68  -41572.8  -25766.6    ++
   B1a    -9.129   -28.326    29.761       nan       nan     6.127     0.457      1.97  -15148.7     657.4    +-
   B1a    -1.299    -2.477     2.797       nan       nan     0.290     0.014     -1.34   -8904.9    6901.3    --
   B1a    20.671    43.779    48.414       nan       nan     4.635     0.069      1.67  -41933.4  -26127.3    ++
   K2c   -24.468    15.994    29.232       nan       nan     5.979     0.190      1.94  -18193.3       0.0    +-
   K2c    -7.215   -40.557    41.194       nan       nan     8.499     0.159      2.32  -30377.8  -12184.5    ++
   K2c    -0.656     0.945     1.150       nan       nan     0.204     0.010     -1.73  -10508.1    7685.2    --
   K2c    32.071   -13.327    34.730       nan       nan    14.121     0.447      2.87  -27112.4   -8919.1    +-
   K2c    31.897    22.626    39.107       nan       nan     9.587     0.209      2.45  -28570.3  -10377.0    ++
   K2b   -24.027    16.365    29.071       nan       nan     6.058     0.190      1.96  -18004.5     188.8    +-
   K2b    -7.059   -40.812    41.418       nan       nan     8.236     0.154      2.29  -30783.3  -12590.0    ++
   K2b    -0.662     1.026     1.221       nan       nan     0.205     0.010     -1.72  -10497.8    7695.5    --
   K2b    32.916   -11.543    34.881       nan       nan    16.594     0.610      3.05  -27272.7   -9079.4    +-
   K2b    32.359    21.513    38.857       nan       nan    10.234     0.277      2.53  -28380.0  -10186.6    ++
   K2a   -24.108    16.881    29.430       nan       nan     6.272     0.199      1.99  -18300.2    -106.9    +-
   K2a    -8.476   -40.728    41.601       nan       nan     8.144     0.146      2.28  -30834.5  -12641.2    ++
   K2a    -0.554     1.022     1.163       nan       nan     0.202     0.010     -1.74  -10491.2    7702.1    --
   K2a    31.726    22.119    38.676       nan       nan     9.580     0.238      2.45  -27984.2   -9790.9    ++
   K2a    32.951   -10.647    34.628       nan       nan    16.257     0.602      3.03  -26841.5   -8648.2    +-
  10.3   -26.239    18.492    32.101       nan       nan     5.405     0.156      1.83  -18506.9       0.0    +-
  10.3    -4.951   -47.437    47.695       nan       nan     9.925     0.686      2.49  -37465.8  -18958.9    ++
  10.3    -0.951     1.358     1.658       nan       nan     0.170     0.008     -1.92  -10411.6    8095.3    --
  10.3    39.691    17.938    43.556       nan       nan    14.277     0.499      2.89  -32870.1  -14363.2    ++
  10.3    40.270    -7.167    40.903       nan       nan    18.479     0.486      3.17  -32554.1  -14047.2    +-
  10.2   -26.480    20.031    33.203       nan       nan     6.347     0.199      2.01  -19328.0    -821.1    +-
  10.2    -9.141   -47.237    48.113       nan       nan     6.805     0.140      2.08  -37707.4  -19200.5    ++
  10.2    -0.669     1.362     1.517       nan       nan     0.163     0.008     -1.97  -10410.7    8096.2    --
  10.2    38.142    19.920    43.031       nan       nan    14.952     0.499      2.94  -31563.7  -13056.8    ++
  10.2    40.020    -4.634    40.287       nan       nan    19.994     0.522      3.25  -31223.2  -12716.3    +-
  7.2d   -27.488    18.690    33.240       nan       nan    10.429     0.630      2.55  -19537.3       0.0    +-
  7.2d    -8.461   -46.809    47.568       nan       nan     7.083     0.154      2.13  -36755.1  -17217.7    ++
  7.2d    -0.736     1.207     1.414       nan       nan     0.162     0.008     -1.98  -10457.8    9079.5    --
  7.2d    37.226    23.168    43.847       nan       nan    12.777     0.322      2.77  -32327.0  -12789.6    ++
  7.2d    38.763    -9.932    40.015       nan       nan    14.335     0.339      2.89  -31423.6  -11886.3    +-
  7.2c   -27.512    15.871    31.762       nan       nan     4.995     0.141      1.75  -18436.2    1101.1    +-
  7.2c    -1.089   -46.557    46.570       nan       nan    11.357     0.652      2.64  -35361.9  -15824.6    ++
  7.2c    -1.233     1.013     1.596       nan       nan     0.172     0.008     -1.91  -10463.6    9073.7    --
  7.2c    35.880   -19.652    40.910       nan       nan     4.543     0.368      1.64  -33225.1  -13687.8    +-
  7.2c    38.769    23.605    45.390       nan       nan    10.222     0.237      2.52  -35102.7  -15565.4    ++
  7.2b   -26.638    18.591    32.484       nan       nan     5.948     0.178      1.94  -18866.1     671.2    +-
  7.2b    -6.580   -47.233    47.689       nan       nan     7.206     0.144      2.14  -37237.2  -17699.9    ++
  7.2b    -0.874     1.307     1.572       nan       nan     0.167     0.008     -1.94  -10430.2    9107.1    --
  7.2b    38.900    19.786    43.643       nan       nan    13.612     0.427      2.83  -32664.8  -13127.5    ++
  7.2b    39.760    -8.199    40.597       nan       nan    16.363     0.411      3.03  -32171.7  -12634.4    +-
  7.2a   -27.384    17.870    32.699       nan       nan     2.809     0.132      1.12  -19343.1     194.2    +-
  7.2a    -7.079   -46.708    47.241       nan       nan     7.401     0.157      2.17  -36338.0  -16800.7    ++
  7.2a    -0.843     1.150     1.426       nan       nan     0.163     0.008     -1.97  -10471.8    9065.5    --
  7.2a    37.448    23.565    44.245       nan       nan    12.053     0.293      2.70  -32972.8  -13435.5    ++
  7.2a    38.197   -12.367    40.149       nan       nan    14.506     0.372      2.90  -31836.0  -12298.7    +-
   6.3   -13.555    10.072    16.887       nan       nan     3.428     0.145      1.34   -7641.6       0.0    +-
   6.3    -5.547     4.445     7.108       nan       nan     1.055     0.037      0.06   -7344.9     296.7    --
   6.3    28.595   -45.905    54.083       nan       nan     8.239     0.334      2.29  -52650.6  -45009.0    ++
   6.2   -12.822     9.871    16.181       nan       nan     3.614     0.162      1.39   -7366.8     274.8    +-
   6.2    -5.844     4.837     7.586       nan       nan     1.309     0.048      0.29   -7164.9     476.7    --
   6.2    27.890   -46.816    54.494       nan       nan     7.716     0.302      2.22  -53304.6  -45663.0    ++
   4.3   -19.337    11.499    22.498       nan       nan     3.493     0.115      1.36  -10154.9       0.0    +-
