chi multiples
 N    ID    z   Narcs    chip    chix    chiy    chia   rmss     rmsi    dx      dy    nwarn
 0     5b 6.200   1      0.00    0.00    0.00    0.00   0.003    0.01    0.00   -0.01  0
 0     5a 6.200   1      0.00    0.00    0.00    0.00   0.003    0.01    0.01   -0.00  0
 0     5b 6.200   2      0.00    0.00    0.00    0.00   0.003    0.01    N/A     N/A   0
 1     4b 6.200   1      0.00    0.00    0.00    0.00   0.006    0.01    0.01    0.00  0
 1     4a 6.200   1      0.00    0.00    0.00    0.00   0.006    0.01   -0.00   -0.01  0
 1     4b 6.200   2      0.00    0.00    0.00    0.00   0.006    0.01    N/A     N/A   0
 2     3c 6.200   1      0.01    0.00    0.00    0.00   0.008    0.02   -0.01    0.02  0
 2     3b 6.200   1      0.01    0.00    0.00    0.00   0.024    0.02    0.02    0.02  0
 2     3a 6.200   1      0.03    0.00    0.00    0.00   0.031    0.04   -0.03   -0.02  0
 2     3c 6.200   3      0.06    0.00    0.00    0.00   0.023    0.03    N/A     N/A   0
chimul                   0.06    0.00    0.00    0.00   0.015    0.02    N/A     N/A   0
log(Likelihood)          9.64

chitot           0.06
log(Likelihood)    9.64
