#REFERENCE 3 47.2332780 26.7604950
   #ID       X         Y         R       EPS       TAU       AMP       E_AMP      DMAG  TIME[days]  DTIME    PARITY
   1.3   -17.877    -0.691    17.891       nan       nan     4.004     0.000      1.51  -13538.4       0.0    +-
   1.3    -3.929    -0.593     3.973       nan       nan     0.657     0.000     -0.46  -12339.4    1199.0    --
   1.3    35.320    19.760    40.472       nan       nan     5.657     0.000      1.88  -38692.3  -25153.9    ++
   1.2   -16.188    -0.788    16.207       nan       nan     4.244     0.000      1.57  -12899.5     638.9    +-
   1.2    -4.404    -0.565     4.440       nan       nan     0.787     0.000     -0.26  -12067.1    1471.3    --
   1.2    36.171    18.987    40.851       nan       nan     5.550     0.000      1.86  -39451.1  -25912.7    ++
   1.1   -16.050    -0.706    16.065       nan       nan     4.487     0.000      1.63  -12832.7     705.7    +-
   1.1    -4.460    -0.533     4.492       nan       nan     0.805     0.000     -0.24  -12037.5    1500.9    --
   1.1    36.303    18.738    40.854       nan       nan     5.560     0.000      1.86  -39493.4  -25955.0    ++
 10.1b   -27.017     2.974    27.180       nan       nan     5.764     0.000      1.90  -20260.3       0.0    +-
 10.1b    -1.501    -0.412     1.557       nan       nan     0.238     0.000     -1.56  -13609.1    6651.3    --
 10.1b    31.464    30.126    43.561       nan       nan     6.490     0.000      2.03  -38035.0  -17774.6    ++
 10.1a   -27.523     1.624    27.571       nan       nan     5.979     0.000      1.94  -20469.3    -209.0    +-
 10.1a    -1.458    -0.595     1.575       nan       nan     0.238     0.000     -1.56  -13598.9    6661.4    --
 10.1a    30.527    31.526    43.883       nan       nan     6.003     0.000      1.95  -38482.8  -18222.5    ++
   B4b    -9.587   -28.329    29.907       nan       nan     7.710     0.001      2.22  -18822.2       0.0    +-
   B4b    -1.131    -2.648     2.879       nan       nan     0.294     0.000     -1.33  -12721.8    6100.4    --
   B4b    22.228    42.512    47.973       nan       nan     4.680     0.000      1.68  -44812.6  -25990.3    ++
   B4a    -8.531   -28.642    29.885       nan       nan     8.991     0.001      2.38  -18804.5      17.8    +-
   B4a    -1.026    -2.678     2.867       nan       nan     0.293     0.000     -1.33  -12715.1    6107.1    --
   B4a    21.427    42.864    47.921       nan       nan     4.706     0.000      1.68  -44717.6  -25895.4    ++
   B3b    -9.192   -28.825    30.255       nan       nan     7.512     0.001      2.19  -19228.0       0.0    +-
   B3b    -1.033    -2.536     2.738       nan       nan     0.285     0.000     -1.36  -12813.8    6414.1    --
   B3b    21.826    42.394    47.682       nan       nan     4.774     0.000      1.70  -44278.2  -25050.2    ++
   B3a    -8.435   -29.135    30.331       nan       nan     9.987     0.002      2.50  -19273.2     -45.2    +-
   B3a    -0.951    -2.539     2.711       nan       nan     0.283     0.000     -1.37  -12821.9    6406.1    --
   B3a    21.236    42.606    47.605       nan       nan     4.808     0.000      1.70  -44137.6  -24909.7    ++
   B2b    -8.453   -28.163    29.404       nan       nan     8.856     0.001      2.37  -18282.9       0.0    +-
   B2b    -1.092    -2.841     3.044       nan       nan     0.305     0.000     -1.29  -12588.9    5694.0    --
   B2b    21.492    43.211    48.260       nan       nan     4.604     0.000      1.66  -45344.5  -27061.7    ++
   B2a    -7.432   -28.584    29.534       nan       nan    11.970     0.002      2.70  -18392.7    -109.9    +-
   B2a    -0.989    -2.822     2.991       nan       nan     0.301     0.000     -1.31  -12614.3    5668.6    --
   B2a    20.825    43.391    48.130       nan       nan     4.659     0.000      1.67  -45109.0  -26826.1    ++
   B1b   -10.660   -28.006    29.966       nan       nan     9.634     0.001      2.46  -18765.8       0.0    +-
   B1b    -1.242    -2.637     2.914       nan       nan     0.297     0.000     -1.32  -12710.5    6055.3    --
   B1b    23.002    42.199    48.061       nan       nan     4.649     0.000      1.67  -44981.7  -26215.9    ++
   B1a    -9.129   -28.325    29.760       nan       nan     7.960     0.001      2.25  -18673.9      92.0    +-
   B1a    -1.104    -2.705     2.921       nan       nan     0.297     0.000     -1.32  -12685.6    6080.2    --
   B1a    21.902    42.761    48.043       nan       nan     4.661     0.000      1.67  -44942.0  -26176.2    ++
   I2c   -24.468    15.995    29.232       nan       nan     6.874     0.000      2.09  -22729.0       0.0    +-
   I2c    -8.737   -40.620    41.549       nan       nan     9.339     0.001      2.43  -33117.7  -10388.8    ++
   I2c    -0.370     0.708     0.799       nan       nan     0.193     0.000     -1.78  -13840.5    8888.4    --
   I2c    29.574    25.819    39.259       nan       nan    12.492     0.000      2.74  -31207.7   -8478.7    ++
   I2c    31.946   -12.196    34.194       nan       nan    15.786     0.006      3.00  -29777.4   -7048.5    +-
   I2b   -23.829    15.593    28.478       nan       nan     6.569     0.000      2.04  -21879.2     849.8    +-
   I2b    -5.648   -40.978    41.365       nan       nan     9.661     0.001      2.46  -33488.7  -10759.8    ++
   I2b    -0.571     0.814     0.994       nan       nan     0.200     0.000     -1.75  -13786.0    8942.9    --
   I2b    32.916   -11.542    34.880       nan       nan    19.031     0.010      3.20  -30710.6   -7981.6    +-
   I2b    33.060    20.753    39.034       nan       nan    11.321     0.001      2.63  -31635.4   -8906.5    ++
   I2a   -24.283    16.120    29.146       nan       nan     6.870     0.000      2.09  -22613.1     115.8    +-
   I2a    -8.477   -40.727    41.600       nan       nan     9.261     0.001      2.42  -33250.1  -10521.2    ++
