#REFERENCE 3 47.2332780 26.7604950
   #ID       X         Y         R       EPS       TAU       AMP       DMAG  TIME[days]  DTIME    PARITY
   1.3    -1.722    -0.174     1.731     0.994     8.953     0.593     -0.57  -27884.1       0.0    --
   1.3   -18.664    -0.086    18.664     0.835     1.520     4.756      1.69  -29247.4   -1363.3    +-
   1.3    35.320    19.760    40.472     0.000     0.000     5.504      1.85  -53381.8  -25497.7    ++
   1.2    36.944    20.016    42.017     0.988     6.344     4.941      1.73  -56027.7  -28143.6    ++
   1.2   -14.399    -1.194    14.448     0.533     0.630     6.450      2.02  -27461.9     422.2    +-
   1.2    -4.404    -0.565     4.440     0.000     0.000     1.789      0.63  -27137.7     746.4    --
   1.1    36.485    19.331    41.290     0.944     2.853     5.203      1.79  -54846.7  -26962.6    ++
   1.1    -3.248    -0.304     3.262     0.654     0.864     1.147      0.15  -27465.1     419.0    --
   1.1   -16.050    -0.706    16.065     0.000     0.000     5.345      1.82  -28122.3    -238.2    +-
 10.1b    31.534    30.145    43.624     0.966     3.720     6.532      2.04  -53421.8       0.0    ++
 10.1b    -0.044    -0.011     0.045     0.890     1.953     0.001     -8.18  -28750.6   24671.1    --
 10.1b   -27.017     2.974    27.180     0.000     0.000     5.239      1.80  -35748.3   17673.5    +-
 10.1a   -27.499     1.669    27.550     0.960     3.410     5.374      1.83  -35999.5   17422.3    +-
 10.1a    -0.042    -0.018     0.045     0.945     2.885     0.001     -8.19  -28758.5   24663.3    --
 10.1a    30.527    31.526    43.883     0.000     0.000     5.749      1.90  -53848.0    -426.2    ++
   B4b    -0.136    -0.431     0.452     0.996    11.787     0.051     -3.23  -28308.2       0.0    --
   B4b    -9.362   -28.339    29.845     0.414     0.455     6.818      2.08  -34883.6   -6575.4    +-
   B4b    22.228    42.512    47.973     0.000     0.000     4.633      1.66  -60331.2  -32023.0    ++
   B4a    21.506    42.818    47.916     0.297     0.311     4.655      1.67  -60236.9  -31928.7    ++
   B4a    -8.531   -28.642    29.885     0.000     0.000     7.856      2.24  -34898.1   -6589.9    +-
   B3b    -0.093    -0.320     0.333     0.996    11.547     0.029     -3.85  -28378.4       0.0    --
   B3b    -9.057   -28.833    30.222     0.378     0.408     6.722      2.07  -35309.3   -6930.9    +-
   B3b    21.826    42.394    47.682     0.000     0.000     4.739      1.69  -59782.0  -31403.6    ++
   B3a    -0.080    -0.311     0.321     0.995    10.179     0.027     -3.92  -28391.1     -12.7    --
   B3a    21.260    42.595    47.606     0.236     0.243     4.771      1.70  -59649.8  -31271.4    ++
   B3a    -8.435   -29.135    30.331     0.000     0.000     8.636      2.34  -35368.7   -6990.4    +-
   B2b    -0.177    -0.637     0.661     0.996    10.823     0.092     -2.59  -28221.0       0.0    --
   B2b    -8.294   -28.195    29.390     0.301     0.315     8.087      2.27  -34341.5   -6120.5    +-
   B2b    21.492    43.211    48.260     0.000     0.000     4.537      1.64  -60901.7  -32680.7    ++
   B2a    -0.148    -0.607     0.625     0.997    12.115     0.085     -2.67  -28241.8     -20.8    --
